id,name,urban_rural,population,city,province,region
1401,Tibagan,Urban,3051,CITY OF SAN JUAN,METRO MANILA,NCR - National Capital Region
1402,West Crame,Urban,15550,CITY OF SAN JUAN,METRO MANILA,NCR - National Capital Region
1403,Greenhills,Urban,16632,CITY OF SAN JUAN,METRO MANILA,NCR - National Capital Region
1404,Acacia,Urban,5482,CITY OF MALABON,METRO MANILA,NCR - National Capital Region
1405,Baritan,Urban,10953,CITY OF MALABON,METRO MANILA,NCR - National Capital Region
1406,Bayan-bayanan,Urban,6950,CITY OF MALABON,METRO MANILA,NCR - National Capital Region
1407,Catmon,Urban,36804,CITY OF MALABON,METRO MANILA,NCR - National Capital Region
1408,Concepcion,Urban,12497,CITY OF MALABON,METRO MANILA,NCR - National Capital Region
1409,Dampalit,Urban,12087,CITY OF MALABON,METRO MANILA,NCR - National Capital Region
1410,Flores,Urban,4128,CITY OF MALABON,METRO MANILA,NCR - National Capital Region
1411,Hulong Duhat,Urban,11987,CITY OF MALABON,METRO MANILA,NCR - National Capital Region
1412,Ibaba,Urban,9629,CITY OF MALABON,METRO MANILA,NCR - National Capital Region
1413,Longos,Urban,51113,CITY OF MALABON,METRO MANILA,NCR - National Capital Region
1414,Maysilo,Urban,11104,CITY OF MALABON,METRO MANILA,NCR - National Capital Region
1415,Muzon,Urban,5683,CITY OF MALABON,METRO MANILA,NCR - National Capital Region
1416,Niugan,Urban,5831,CITY OF MALABON,METRO MANILA,NCR - National Capital Region
1417,Panghulo,Urban,12264,CITY OF MALABON,METRO MANILA,NCR - National Capital Region
1418,Potrero,Urban,45081,CITY OF MALABON,METRO MANILA,NCR - National Capital Region
1419,San Agustin,Urban,11169,CITY OF MALABON,METRO MANILA,NCR - National Capital Region
1420,Santolan,Urban,12758,CITY OF MALABON,METRO MANILA,NCR - National Capital Region
1421,Tañong (Pob.),Urban,16257,CITY OF MALABON,METRO MANILA,NCR - National Capital Region
1422,Tinajeros,Urban,18387,CITY OF MALABON,METRO MANILA,NCR - National Capital Region
1423,Tonsuya,Urban,40221,CITY OF MALABON,METRO MANILA,NCR - National Capital Region
1424,Tugatog,Urban,23296,CITY OF MALABON,METRO MANILA,NCR - National Capital Region
1425,Sipac-Almacen,Urban,11304,CITY OF NAVOTAS,METRO MANILA,NCR - National Capital Region
1426,Bagumbayan North,Urban,3388,CITY OF NAVOTAS,METRO MANILA,NCR - National Capital Region
1427,Bagumbayan South,Urban,4710,CITY OF NAVOTAS,METRO MANILA,NCR - National Capital Region
1428,Bangculasi,Urban,7437,CITY OF NAVOTAS,METRO MANILA,NCR - National Capital Region
1429,Daanghari,Urban,18932,CITY OF NAVOTAS,METRO MANILA,NCR - National Capital Region
1430,Navotas East,Urban,2299,CITY OF NAVOTAS,METRO MANILA,NCR - National Capital Region
1431,Navotas West,Urban,8738,CITY OF NAVOTAS,METRO MANILA,NCR - National Capital Region
1432,"North Bay Blvd., North",Urban,15970,CITY OF NAVOTAS,METRO MANILA,NCR - National Capital Region
1433,"North Bay Blvd., South",Urban,66566,CITY OF NAVOTAS,METRO MANILA,NCR - National Capital Region
1434,San Jose (Pob.),Urban,27342,CITY OF NAVOTAS,METRO MANILA,NCR - National Capital Region
1435,San Rafael Village,Urban,3662,CITY OF NAVOTAS,METRO MANILA,NCR - National Capital Region
1436,San Roque,Urban,18062,CITY OF NAVOTAS,METRO MANILA,NCR - National Capital Region
1437,Tangos,Urban,33211,CITY OF NAVOTAS,METRO MANILA,NCR - National Capital Region
1438,Tanza,Urban,23723,CITY OF NAVOTAS,METRO MANILA,NCR - National Capital Region
1439,Arkong Bato,Urban,8170,CITY OF VALENZUELA,METRO MANILA,NCR - National Capital Region
1440,Bagbaguin,Urban,11954,CITY OF VALENZUELA,METRO MANILA,NCR - National Capital Region
1441,Balangkas,Urban,10663,CITY OF VALENZUELA,METRO MANILA,NCR - National Capital Region
1442,Parada,Urban,16059,CITY OF VALENZUELA,METRO MANILA,NCR - National Capital Region
1443,Bignay,Urban,19915,CITY OF VALENZUELA,METRO MANILA,NCR - National Capital Region
1444,Bisig,Urban,1262,CITY OF VALENZUELA,METRO MANILA,NCR - National Capital Region
1445,Canumay West (Canumay),Urban,28192,CITY OF VALENZUELA,METRO MANILA,NCR - National Capital Region
1446,Karuhatan,Urban,37750,CITY OF VALENZUELA,METRO MANILA,NCR - National Capital Region
1447,Coloong,Urban,10675,CITY OF VALENZUELA,METRO MANILA,NCR - National Capital Region
1448,Dalandanan,Urban,17920,CITY OF VALENZUELA,METRO MANILA,NCR - National Capital Region
1449,Hen. T. De Leon,Urban,95536,CITY OF VALENZUELA,METRO MANILA,NCR - National Capital Region
1450,Isla,Urban,4257,CITY OF VALENZUELA,METRO MANILA,NCR - National Capital Region
1451,Lawang Bato,Urban,14770,CITY OF VALENZUELA,METRO MANILA,NCR - National Capital Region
1452,Lingunan,Urban,14661,CITY OF VALENZUELA,METRO MANILA,NCR - National Capital Region
1453,Mabolo,Urban,1465,CITY OF VALENZUELA,METRO MANILA,NCR - National Capital Region
1454,Malanday,Urban,18769,CITY OF VALENZUELA,METRO MANILA,NCR - National Capital Region
1455,Malinta,Urban,44042,CITY OF VALENZUELA,METRO MANILA,NCR - National Capital Region
1456,Mapulang Lupa,Urban,23400,CITY OF VALENZUELA,METRO MANILA,NCR - National Capital Region
1457,Marulas,Urban,54753,CITY OF VALENZUELA,METRO MANILA,NCR - National Capital Region
1458,Maysan,Urban,26993,CITY OF VALENZUELA,METRO MANILA,NCR - National Capital Region
1459,Palasan,Urban,6068,CITY OF VALENZUELA,METRO MANILA,NCR - National Capital Region
1460,Pariancillo Villa,Urban,1317,CITY OF VALENZUELA,METRO MANILA,NCR - National Capital Region
1461,Paso De Blas,Urban,13229,CITY OF VALENZUELA,METRO MANILA,NCR - National Capital Region
1462,Pasolo,Urban,6086,CITY OF VALENZUELA,METRO MANILA,NCR - National Capital Region
1463,Poblacion,Urban,393,CITY OF VALENZUELA,METRO MANILA,NCR - National Capital Region
1464,Pulo,Urban,1130,CITY OF VALENZUELA,METRO MANILA,NCR - National Capital Region
1465,Punturin,Urban,14375,CITY OF VALENZUELA,METRO MANILA,NCR - National Capital Region
1466,Rincon,Urban,6152,CITY OF VALENZUELA,METRO MANILA,NCR - National Capital Region
1467,Tagalag,Urban,3272,CITY OF VALENZUELA,METRO MANILA,NCR - National Capital Region
1468,Ugong,Urban,30779,CITY OF VALENZUELA,METRO MANILA,NCR - National Capital Region
1469,Viente Reales,Urban,21879,CITY OF VALENZUELA,METRO MANILA,NCR - National Capital Region
1470,Wawang Pulo,Urban,3042,CITY OF VALENZUELA,METRO MANILA,NCR - National Capital Region
1471,Canumay East (Canumay),Urban,0,CITY OF VALENZUELA,METRO MANILA,NCR - National Capital Region
39850,Almanza Uno,Urban,30074,CITY OF LAS PIÑAS,METRO MANILA,NCR - National Capital Region
39851,Daniel Fajardo,Urban,14690,CITY OF LAS PIÑAS,METRO MANILA,NCR - National Capital Region
39852,Elias Aldana,Urban,10342,CITY OF LAS PIÑAS,METRO MANILA,NCR - National Capital Region
39853,Ilaya,Urban,6196,CITY OF LAS PIÑAS,METRO MANILA,NCR - National Capital Region
39854,Manuyo Uno,Urban,12057,CITY OF LAS PIÑAS,METRO MANILA,NCR - National Capital Region
39855,Pamplona Uno,Urban,15272,CITY OF LAS PIÑAS,METRO MANILA,NCR - National Capital Region
39856,Pulang Lupa Uno,Urban,33838,CITY OF LAS PIÑAS,METRO MANILA,NCR - National Capital Region
39857,Talon Uno,Urban,28109,CITY OF LAS PIÑAS,METRO MANILA,NCR - National Capital Region
39858,Zapote,Urban,17944,CITY OF LAS PIÑAS,METRO MANILA,NCR - National Capital Region
39859,Almanza Dos,Urban,35337,CITY OF LAS PIÑAS,METRO MANILA,NCR - National Capital Region
39860,B. F. International Village,Urban,68912,CITY OF LAS PIÑAS,METRO MANILA,NCR - National Capital Region
39861,Manuyo Dos,Urban,26094,CITY OF LAS PIÑAS,METRO MANILA,NCR - National Capital Region
39862,Pamplona Dos,Urban,8408,CITY OF LAS PIÑAS,METRO MANILA,NCR - National Capital Region
39863,Pamplona Tres,Urban,31215,CITY OF LAS PIÑAS,METRO MANILA,NCR - National Capital Region
39864,Pilar,Urban,31583,CITY OF LAS PIÑAS,METRO MANILA,NCR - National Capital Region
39865,Pulang Lupa Dos,Urban,31922,CITY OF LAS PIÑAS,METRO MANILA,NCR - National Capital Region
39866,Talon Dos,Urban,47479,CITY OF LAS PIÑAS,METRO MANILA,NCR - National Capital Region
39867,Talon Tres,Urban,25083,CITY OF LAS PIÑAS,METRO MANILA,NCR - National Capital Region
39868,Talon Kuatro,Urban,21547,CITY OF LAS PIÑAS,METRO MANILA,NCR - National Capital Region
39869,Talon Singko,Urban,36228,CITY OF LAS PIÑAS,METRO MANILA,NCR - National Capital Region
39870,Addition Hills,Urban,81221,CITY OF MANDALUYONG,METRO MANILA,NCR - National Capital Region
39871,Bagong Silang,Urban,3747,CITY OF MANDALUYONG,METRO MANILA,NCR - National Capital Region
39872,Barangka Drive,Urban,12134,CITY OF MANDALUYONG,METRO MANILA,NCR - National Capital Region
39873,Barangka Ibaba,Urban,9372,CITY OF MANDALUYONG,METRO MANILA,NCR - National Capital Region
39874,Barangka Ilaya,Urban,4185,CITY OF MANDALUYONG,METRO MANILA,NCR - National Capital Region
39875,Barangka Itaas,Urban,11212,CITY OF MANDALUYONG,METRO MANILA,NCR - National Capital Region
39876,Burol,Urban,2322,CITY OF MANDALUYONG,METRO MANILA,NCR - National Capital Region
39877,Buayang Bato,Urban,999,CITY OF MANDALUYONG,METRO MANILA,NCR - National Capital Region
39878,Daang Bakal,Urban,2980,CITY OF MANDALUYONG,METRO MANILA,NCR - National Capital Region
39879,Hagdang Bato Itaas,Urban,9431,CITY OF MANDALUYONG,METRO MANILA,NCR - National Capital Region
39880,Hagdang Bato Libis,Urban,6241,CITY OF MANDALUYONG,METRO MANILA,NCR - National Capital Region
39881,Harapin Ang Bukas,Urban,4069,CITY OF MANDALUYONG,METRO MANILA,NCR - National Capital Region
39882,Highway Hills,Urban,18682,CITY OF MANDALUYONG,METRO MANILA,NCR - National Capital Region
39883,Hulo,Urban,20850,CITY OF MANDALUYONG,METRO MANILA,NCR - National Capital Region
39884,Mabini-J. Rizal,Urban,4826,CITY OF MANDALUYONG,METRO MANILA,NCR - National Capital Region
39885,Malamig,Urban,6898,CITY OF MANDALUYONG,METRO MANILA,NCR - National Capital Region
39886,Mauway,Urban,21700,CITY OF MANDALUYONG,METRO MANILA,NCR - National Capital Region
39887,Namayan,Urban,4846,CITY OF MANDALUYONG,METRO MANILA,NCR - National Capital Region
39888,New Za?iga,Urban,5413,CITY OF MANDALUYONG,METRO MANILA,NCR - National Capital Region
39889,Old Za?iga,Urban,6674,CITY OF MANDALUYONG,METRO MANILA,NCR - National Capital Region
39890,Pag-asa,Urban,3112,CITY OF MANDALUYONG,METRO MANILA,NCR - National Capital Region
39891,Plainview,Urban,24706,CITY OF MANDALUYONG,METRO MANILA,NCR - National Capital Region
39892,Pleasant Hills,Urban,6495,CITY OF MANDALUYONG,METRO MANILA,NCR - National Capital Region
39893,Poblacion,Urban,14778,CITY OF MANDALUYONG,METRO MANILA,NCR - National Capital Region
39894,San Jose,Urban,7629,CITY OF MANDALUYONG,METRO MANILA,NCR - National Capital Region
39895,Vergara,Urban,4928,CITY OF MANDALUYONG,METRO MANILA,NCR - National Capital Region
39896,Wack-wack Greenhills,Urban,6126,CITY OF MANDALUYONG,METRO MANILA,NCR - National Capital region
